Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0003350	2.00	3.00	8.00	2.00	3.00	8.30	4.09	1.00
FEX_0003351	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00
FEX_0003352	9.00	9.00	14.00	10.00	7.00	14.00	17.00	12.00
FEX_0003353	1.00	0.00	4.00	3.00	0.00	4.24	4.46	1.04
FEX_0003354	0.00	0.00	0.00	0.00	0.00	4.76	0.54	4.96
FEX_0003355	14.00	14.00	11.00	6.00	112.00	53.00	31.00	174.00
FEX_0003356	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003357	5.00	1.00	0.00	0.00	25.00	5.00	4.00	23.00
FEX_0003358	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003359	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0003360	0.00	2.00	7.00	9.00	3.00	7.00	4.00	4.00
FEX_0003361	41.00	25.00	39.00	12.00	46.00	45.00	46.00	17.00
FEX_0003362	6.00	7.00	7.00	20.00	32.81	8.00	23.00	83.00
FEX_0003363	2.00	3.03	2.00	2.04	6.00	1.00	3.00	2.00
FEX_0003364	11.00	5.00	6.00	5.00	12.19	6.00	5.00	7.00
FEX_0003365	32.00	0.00	33.31	4.20	38.00	0.00	87.00	60.37
FEX_0003366	0.00	80.00	46.69	46.80	0.00	84.00	0.00	4.63
FEX_0003367	1.00	3.00	1.00	2.00	0.00	3.00	2.00	1.00
FEX_0003368	11742.00	7072.00	15459.00	16700.00	5551.00	4602.00	6714.00	1337.00
FEX_0003369	74.00	139.00	61.00	66.00	185.00	123.00	97.00	475.00
FEX_0003370	115.86	99.10	108.19	26.25	494.07	384.24	182.84	360.71
FEX_0003372	183.10	126.79	143.97	88.87	171.55	306.76	245.21	151.29
FEX_0003373	345.00	303.00	50.00	50.00	158.00	94.00	89.00	51.00
FEX_0003374	2185.00	2161.00	1418.00	1520.00	8549.00	4088.00	3288.00	5040.00
FEX_0003375	33.00	28.00	22.00	19.00	47.00	41.00	125.00	136.00
FEX_0003376	8.00	10.00	2.00	2.00	23.00	36.00	46.00	77.00
FEX_0003377	541.51	392.86	298.59	433.64	2163.24	1087.25	1005.70	1576.98
FEX_0003378	1012.49	1615.14	886.41	845.36	1606.76	1138.75	870.30	729.02
FEX_0003379	7.00	14.00	3.00	6.00	17.00	21.00	7.00	13.00
FEX_0003380	40.00	91.69	88.01	64.20	101.03	96.86	63.11	50.18
FEX_0003381	93.39	72.55	57.98	106.28	184.79	138.95	146.21	148.87
FEX_0003382	1025.02	741.78	823.18	583.33	545.37	1284.54	978.41	173.76
FEX_0003383	67.98	34.22	35.82	30.67	323.63	123.46	154.59	312.24
FEX_0003384	5.76	7.75	3.87	3.86	30.52	36.74	11.60	24.30
FEX_0003385	175.13	248.25	122.14	176.25	392.23	296.03	234.03	113.70
FEX_0003386	107.12	124.00	119.99	83.89	10.25	121.23	133.37	9.00
FEX_0003387	65.00	54.00	41.00	35.00	229.00	128.00	91.00	153.00
FEX_0003388	335.00	398.00	211.00	151.00	606.00	651.00	412.00	434.63
FEX_0003389	19.00	10.00	6.00	10.00	81.00	48.00	23.00	79.37
FEX_0003390	16.00	13.00	13.00	25.00	58.00	28.00	17.00	52.00
FEX_0003391	81.03	67.78	290.89	130.16	36.08	24.56	31.83	15.71
FEX_0003392	1040.97	1291.22	981.11	597.84	2386.92	1653.38	2516.17	564.29
FEX_0003393	1644.00	1859.00	2529.00	2348.00	1744.00	2229.00	3102.00	471.00
FEX_0003394	84.65	81.70	82.34	40.26	104.54	116.54	59.45	27.04
FEX_0003395	301.22	313.02	155.66	131.65	843.18	522.43	281.41	493.61
FEX_0003396	27.86	77.77	48.68	44.74	238.27	64.20	157.41	98.29
FEX_0003397	326.14	451.23	573.32	287.26	589.73	426.80	510.59	376.71
FEX_0003398	3.00	5.00	7.00	1.00	5.00	8.00	5.00	0.00
FEX_0003399	536.67	361.23	567.59	252.59	329.06	587.25	657.89	99.75
FEX_0003400	2944.96	2547.43	2918.09	2436.81	2629.67	3249.43	3014.97	976.25
FEX_0003401	317.00	455.00	210.00	264.00	957.00	1132.00	650.00	1756.00
FEX_0003402	4.00	8.00	9.00	3.00	6.00	5.00	14.00	12.00
FEX_0003403	4.00	7.00	13.00	7.00	6.00	16.00	7.00	5.00
FEX_0003404	4.00	8.00	25.00	19.00	12.00	27.00	7.00	10.00
FEX_0003405	1234.00	1047.57	994.00	734.00	1258.00	1222.00	1358.00	361.00
FEX_0003406	25.00	45.00	14.00	36.00	198.00	73.00	84.00	142.00
FEX_0003407	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003409	366.49	631.45	221.56	275.30	806.14	559.03	470.00	502.65
FEX_0003410	0.00	0.00	0.00	0.00	3.99	0.00	0.00	0.00
FEX_0003411	66.00	127.00	55.00	57.00	123.58	133.00	81.00	68.00
FEX_0003412	0.00	0.00	6.00	4.00	3.42	5.00	2.00	0.00
FEX_0003413	20.52	0.00	0.00	3.71	58.40	40.56	26.13	42.53
FEX_0003414	4.58	8.22	8.41	0.00	34.14	29.32	9.19	13.14
FEX_0003415	66.13	111.76	88.42	89.79	116.49	111.20	95.97	67.48
FEX_0003416	290.29	294.04	245.56	182.43	284.78	287.96	347.21	47.29
FEX_0003417	2276.48	2309.97	2013.61	1327.07	3373.19	3271.97	3636.50	983.48
FEX_0003418	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003419	630.61	647.00	853.00	779.26	740.44	451.81	703.53	208.86
FEX_0003420	3.00	8.00	13.00	30.00	0.00	15.02	18.00	4.00
FEX_0003421	92.39	0.00	0.00	65.74	415.56	111.19	200.47	206.14
FEX_0003422	2384.67	2771.29	2683.24	1921.22	2303.58	2311.61	2485.77	937.51
FEX_0003423	5.93	0.00	0.00	0.00	52.48	6.99	28.40	52.79
FEX_0003424	3.65	15.00	5.00	11.00	6.80	8.53	0.08	7.16
FEX_0003425	3078.00	2838.00	3835.00	2523.00	2344.00	2564.00	2824.00	344.00
FEX_0003426	1353.90	1194.16	1076.55	1264.72	794.54	657.46	1047.41	158.85
FEX_0003427	220.10	243.84	352.45	223.28	266.46	245.54	184.59	62.15
FEX_0003428	9536.49	7016.47	7841.59	7300.93	16886.30	21025.78	15475.19	3305.23
FEX_0003429	412.53	447.08	429.19	278.00	197.28	511.95	366.71	322.68
FEX_0003430	248.50	205.45	194.88	143.00	159.72	225.05	235.31	34.33
FEX_0003431	1988.69	1894.98	2034.60	1134.68	1982.74	2656.83	2653.62	526.99
FEX_0003432	1.00	20.00	14.00	4.00	0.00	10.00	2.00	4.00
FEX_0003433	4.00	19.35	13.00	6.02	0.00	0.00	4.00	5.02
FEX_0003435	4.00	75.00	51.00	35.00	157.31	475.00	246.00	231.36
FEX_0003436	553.00	545.00	772.00	443.00	363.00	415.00	690.00	110.00
FEX_0003437	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0003438	0.00	1.00	12.00	0.00	0.00	0.00	0.00	2.00
FEX_0003439	0.00	9.00	3.00	8.00	2.00	8.00	7.00	0.00
FEX_0003440	0.00	3.00	3.00	2.00	0.00	0.00	3.00	1.00
FEX_0003441	1.00	6.00	5.00	0.00	0.00	0.00	3.00	3.00
FEX_0003442	0.00	0.00	4.00	1.00	0.00	0.00	0.00	0.00
FEX_0003443	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003444	2.00	0.00	1.00	0.00	9.00	15.00	21.00	8.00
FEX_0003445	0.00	0.00	2.00	0.00	0.00	1.00	1.00	0.00
FEX_0003446	1.00	7.00	2.00	1.00	1.00	1.00	0.00	0.00
FEX_0003447	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00
FEX_0003448	12.56	34.91	11.13	41.97	18.21	115.97	280.76	20.95
FEX_0003449	698.44	769.09	604.87	426.03	820.79	818.03	768.24	715.05
FEX_0003450	0.00	2.00	2.00	0.00	2.00	0.00	1.00	0.00
FEX_0003451	128.00	139.00	67.00	84.00	357.00	200.00	120.00	171.20
FEX_0003452	88.39	145.07	84.09	117.79	964.57	479.83	287.66	1176.66
FEX_0003453	4.00	1.00	0.00	4.00	0.00	0.00	9.00	2.00
FEX_0003454	0.00	8.00	3.00	11.00	0.00	0.00	0.00	25.80
FEX_0003455	145.00	39.00	106.00	10.00	13.00	101.00	48.00	6.00
FEX_0003456	35.85	74.09	29.99	16.01	236.53	81.20	116.01	186.79
FEX_0003457	72.15	93.91	66.01	78.99	288.47	264.80	119.99	283.21
FEX_0003458	0.00	0.00	3.35	5.00	0.00	6.00	4.00	2.00
FEX_0003459	1.00	4.00	15.65	4.00	0.00	0.00	2.00	0.00
FEX_0003460	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00
FEX_0003461	14.16	11.24	13.31	18.97	18.18	22.29	8.72	66.77
FEX_0003462	4.00	2.00	12.00	12.00	0.00	11.00	5.00	3.00
FEX_0003464	172.00	267.00	138.00	194.00	197.00	218.00	213.00	80.00
FEX_0003465	396.00	261.00	452.00	408.00	267.00	303.00	351.00	68.00
FEX_0003466	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003467	918.00	826.00	1318.00	1434.00	569.00	811.00	1105.00	89.00
FEX_0003468	28.00	35.00	50.17	10.00	9.00	36.65	31.13	10.00
FEX_0003469	4.00	7.00	5.00	3.00	2.00	3.00	8.49	2.00
FEX_0003470	33.00	24.00	12.00	34.00	31.00	34.00	50.00	24.00
FEX_0003471	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
FEX_0003472	0.00	1.00	7.00	13.00	0.00	3.00	5.00	0.00
FEX_0003473	1.00	1.00	12.00	4.00	4.00	10.00	4.00	2.00
FEX_0003475	1.00	5.00	13.00	4.00	1.00	6.00	7.00	15.00
FEX_0003477	0.00	7.00	0.00	0.00	6.00	9.00	12.00	8.00
FEX_0003478	3.00	0.00	10.00	1.00	0.00	1.00	5.00	6.00
FEX_0003479	3108.10	2208.15	3671.21	3024.25	1075.17	2108.62	2607.16	194.91
FEX_0003480	619.94	411.72	632.52	627.47	267.84	437.30	659.15	75.04
FEX_0003481	3486.93	2674.29	2800.19	1992.39	2429.37	2598.59	3252.81	597.29
FEX_0003482	3412.22	3117.71	4553.81	4843.74	2365.63	3671.41	4899.18	1122.24
FEX_0003483	2330.00	2705.00	1738.00	1782.27	9026.00	3499.25	3380.00	3794.00
FEX_0003484	22.00	56.00	9.00	31.00	143.00	85.00	101.00	106.00
FEX_0003485	513.00	681.00	448.00	383.00	2705.00	1132.00	1262.00	1739.00
FEX_0003486	1.00	0.00	0.00	0.00	2.37	1.00	1.10	0.00
FEX_0003487	143.11	307.84	225.29	250.67	148.47	564.33	283.73	72.01
FEX_0003488	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003489	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003490	2432.00	2665.00	1601.00	1800.00	4498.00	4758.00	2481.00	3514.00
FEX_0003491	1310.00	1113.00	2471.00	2290.00	366.00	952.00	1130.04	56.00
FEX_0003492	2507.00	2747.92	2715.50	1637.99	4197.08	2842.94	2935.03	2137.00
FEX_0003493	308.87	346.30	278.86	192.57	496.06	359.55	346.96	350.70
FEX_0003494	398.34	350.88	464.04	273.21	276.02	426.06	449.23	65.13
FEX_0003495	8.84	5.90	15.93	3.31	5.95	3.39	8.03	8.61
FEX_0003496	1270.00	1416.00	1449.00	1055.00	1120.00	1509.00	1560.00	204.00
FEX_0003498	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003499	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003500	3.00	5.00	18.00	2.00	0.00	122.00	60.00	2.00
FEX_0003501	4.00	9.00	10.00	2.00	1.00	5.00	1.00	3.00
FEX_0003502	11.19	6.00	33.00	17.00	0.00	0.00	6.04	0.00
FEX_0003503	155.73	146.89	220.37	128.73	264.47	384.79	459.67	145.25
FEX_0003504	18.00	29.00	20.00	17.00	96.00	22.00	44.00	71.00
FEX_0003505	52.00	115.00	57.00	49.00	207.00	169.00	141.00	392.00
FEX_0003506	0.00	1.00	1.00	1.00	2.00	6.00	4.00	2.00
FEX_0003507	165.00	174.00	109.00	88.00	1394.00	551.00	735.00	2112.00
FEX_0003508	269.00	354.00	202.00	132.00	483.00	610.00	686.00	1057.00
FEX_0003509	34.84	31.46	30.00	27.00	26.00	12.00	25.06	42.00
FEX_0003510	63.00	136.00	85.00	72.00	174.53	358.00	180.00	200.00
FEX_0003511	0.00	0.00	0.00	1.00	0.00	3.00	0.00	2.00
FEX_0003512	5.16	5.54	0.00	0.00	0.00	0.00	5.94	0.00
FEX_0003513	0.00	1.00	0.00	3.00	11.00	1.00	5.00	27.00
FEX_0003514	341.62	463.04	399.52	204.17	361.39	382.55	431.73	56.20
FEX_0003515	10.38	16.96	13.48	9.83	15.61	13.45	29.27	3.80
FEX_0003516	19.59	31.78	21.07	4.78	296.89	106.26	97.86	523.54
FEX_0003517	936.47	680.25	603.04	651.26	1120.22	1023.01	1043.13	1372.24
FEX_0003518	328.94	308.96	264.89	181.95	275.89	383.73	357.02	352.22
FEX_0003519	451.39	488.35	153.01	151.07	2014.73	1338.01	1094.25	999.63
FEX_0003520	0.00	0.00	64.51	0.00	24.38	379.62	0.29	151.91
FEX_0003521	2088.48	1994.23	2250.13	1911.14	2915.43	2853.80	3176.89	861.18
FEX_0003522	2708.13	2203.42	2104.35	1500.79	2653.47	3260.57	2876.58	678.28
FEX_0003523	976.00	1085.00	1340.00	921.00	708.00	720.00	1247.00	180.00
FEX_0003524	377.26	211.42	582.12	525.00	165.49	253.05	408.67	48.06
FEX_0003525	3172.41	2775.44	3569.06	1374.30	3154.60	3219.03	3727.29	935.82
FEX_0003526	134.80	140.21	121.51	99.00	947.17	519.32	426.44	229.00
FEX_0003527	251.65	589.93	229.31	345.70	901.75	593.60	505.61	37.13
FEX_0003528	2340.48	1958.02	1767.80	1025.22	2298.96	2462.40	2172.73	579.23
FEX_0003529	369.56	351.83	296.59	261.78	351.48	258.79	341.40	102.29
FEX_0003530	1312.96	1832.15	860.61	946.00	4244.57	2764.88	2735.87	7273.48
FEX_0003531	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0003532	0.00	0.00	0.00	1.00	0.00	0.00	2.00	1.04
FEX_0003533	12.05	68.08	0.00	5.00	53.04	49.77	58.37	1.00
FEX_0003534	174.91	159.27	13.00	5.00	322.99	368.04	67.44	1.00
FEX_0003535	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0003536	3.72	0.00	1.72	0.00	2.18	0.00	3.66	2.84
FEX_0003537	53.61	42.36	48.23	47.50	68.67	34.81	37.06	19.02
FEX_0003538	12.00	17.62	13.64	9.19	10.50	2.13	3.96	1.02
FEX_0003539	8.74	18.58	12.78	15.00	8.96	8.05	10.40	9.30
FEX_0003540	84.60	137.03	27.85	6.05	154.85	133.54	121.99	1.64
FEX_0003541	654.45	685.74	569.68	427.20	2364.69	1297.35	983.13	1737.68
FEX_0003542	8.55	2.08	5.21	3.80	83.31	13.18	21.86	27.18
FEX_0003543	652.24	669.67	550.46	473.78	1144.19	819.20	773.05	337.10
FEX_0003544	314.76	391.33	329.54	130.22	425.81	409.80	466.95	80.90
FEX_0003545	1465.85	1337.10	2068.39	2121.01	734.71	1000.32	1642.44	212.14
FEX_0003546	1213.15	1311.90	988.61	628.99	1653.29	2351.68	1527.56	327.86
FEX_0003547	0.00	3.00	0.25	0.00	3.00	0.00	2.00	5.00
FEX_0003548	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
FEX_0003549	2071.34	2186.08	2283.64	1501.22	2027.02	1805.03	2230.27	428.40
FEX_0003550	1371.66	1116.92	1077.39	516.05	1256.98	962.97	1291.73	236.60
FEX_0003551	274.54	205.41	223.34	132.92	389.84	404.69	301.89	58.33
FEX_0003552	706.46	867.59	723.66	496.08	2292.16	1493.31	1253.11	723.67
FEX_0003553	4.00	11.45	5.00	9.69	14.00	5.00	14.38	9.00
FEX_0003554	31.00	25.55	14.00	58.31	31.00	30.00	27.62	28.00
FEX_0003555	44.00	74.00	54.00	57.00	77.00	66.00	48.00	45.00
FEX_0003556	98.00	149.00	66.00	100.00	291.00	319.00	186.00	231.00
FEX_0003557	572.90	612.26	652.68	467.23	1532.54	1138.04	939.05	423.64
FEX_0003558	998.86	1403.82	739.03	989.20	1627.37	1498.56	1288.96	1097.14
FEX_0003559	338.58	288.76	457.55	213.49	276.22	411.81	348.39	32.20
FEX_0003560	0.00	2.46	4.00	0.00	0.00	0.00	2.30	1.09
FEX_0003561	18.54	52.70	33.17	0.00	0.00	0.00	11.86	3.38
FEX_0003562	30.10	5.26	0.00	0.00	191.63	153.04	164.50	438.20
FEX_0003563	203.35	278.59	239.83	241.00	930.43	376.96	419.87	742.68
FEX_0003564	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.01
FEX_0003565	220.00	285.00	146.00	141.00	335.00	308.00	392.00	350.00
FEX_0003566	100.00	125.00	68.00	99.00	334.00	171.00	156.00	272.00
FEX_0003567	92.00	112.00	92.00	47.00	371.00	183.00	218.00	89.00
FEX_0003568	165.88	227.98	110.10	101.23	543.26	328.93	185.53	542.76
FEX_0003569	1670.12	1397.02	1571.90	822.77	1186.74	2053.07	1511.75	284.24
FEX_0003570	472.70	374.61	293.22	397.79	634.27	397.15	462.07	183.52
FEX_0003571	568.30	551.39	730.78	256.21	403.73	483.85	736.93	98.48
FEX_0003572	15.01	153.00	41.02	75.00	57.00	58.00	88.15	113.00
FEX_0003573	6.00	2.00	5.00	13.00	5.00	11.00	12.00	6.00
FEX_0003574	770.00	680.16	865.00	678.00	326.37	515.00	856.00	68.07
FEX_0003575	0.00	0.00	10.13	0.00	0.00	1.05	0.00	0.00
FEX_0003576	7.01	3.00	0.00	0.00	1.00	1.00	2.00	3.00
FEX_0003577	1464.24	1705.43	1425.75	792.95	3590.22	1356.97	1362.71	567.87
FEX_0003578	1693.63	2282.44	1208.16	1559.45	6845.21	3269.35	3640.93	5758.65
FEX_0003579	15.13	0.00	0.00	0.00	9.16	0.00	0.00	0.00
FEX_0003580	2718.72	2754.73	2927.64	2504.31	3011.97	3180.51	3538.37	683.04
FEX_0003581	594.23	693.33	647.63	396.29	635.61	642.35	504.05	133.76
FEX_0003582	839.04	823.95	397.73	309.40	1273.42	1213.14	864.58	568.19
FEX_0003583	11.00	32.00	11.00	20.00	57.00	41.00	6.00	33.00
FEX_0003584	97.00	72.00	83.00	68.00	441.00	415.00	232.00	365.00
FEX_0003585	240.00	219.00	143.00	105.00	396.00	429.00	158.00	336.00
FEX_0003586	182.01	237.82	143.32	71.77	154.46	138.96	157.17	29.13
FEX_0003587	43.64	77.00	18.80	48.82	284.31	161.60	125.57	171.33
FEX_0003588	27.36	31.57	21.12	13.55	19.87	7.13	12.75	17.57
FEX_0003589	172.71	236.00	217.00	139.29	273.16	527.98	347.53	307.00
FEX_0003590	9.01	26.04	52.68	15.63	17.28	3.27	17.68	9.10
FEX_0003591	151.00	455.00	213.00	282.00	822.00	455.00	231.04	306.00
FEX_0003592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003593	162.33	295.93	139.64	121.07	515.84	305.80	333.49	357.85
FEX_0003594	164.50	403.07	368.36	286.84	1266.46	834.48	517.47	458.73
FEX_0003595	1231.05	904.20	732.21	732.01	4374.76	2545.77	1887.24	2689.89
FEX_0003596	249.02	549.09	157.17	394.19	653.65	204.65	173.79	821.37
FEX_0003597	3.53	7.18	6.15	3.00	58.99	17.00	16.00	87.96
FEX_0003598	1.47	4.82	8.85	0.00	1.01	0.00	1.00	3.04
FEX_0003599	240.24	258.05	168.16	109.31	563.11	447.77	352.98	297.09
FEX_0003600	230.01	284.73	107.83	108.80	570.28	437.88	373.39	336.64
FEX_0003601	57.00	85.00	48.00	55.00	85.08	124.04	119.00	13.31
FEX_0003602	0.00	1.00	0.00	0.00	5.00	2.00	1.00	1.00
FEX_0003603	245.44	244.58	237.02	156.51	1194.40	534.20	537.37	363.41
FEX_0003604	8.00	11.00	6.00	4.00	7.00	4.00	9.00	2.00
FEX_0003605	20.00	42.00	163.00	87.00	101.84	30.98	221.05	62.97
FEX_0003606	5699.03	2329.00	2269.00	1622.00	4309.92	4727.15	10745.00	2461.00
FEX_0003607	13.00	20.00	28.02	8.00	38.16	23.02	18.95	40.03
FEX_0003608	85.72	119.57	110.72	78.41	114.23	110.08	65.68	89.15
FEX_0003609	2536.29	3566.04	2093.50	2071.66	5155.25	4038.00	2096.62	4043.81
FEX_0003610	626.84	899.79	500.29	380.16	1636.02	1012.82	944.98	546.02
FEX_0003611	0.00	0.00	0.00	0.00	0.00	0.00	0.00	458.94
FEX_0003612	290.17	364.56	175.06	218.48	762.58	898.76	643.12	307.48
FEX_0003613	799.00	750.00	591.00	582.30	2922.27	1461.00	1503.00	1007.95
FEX_0003614	452.78	488.11	360.43	317.44	994.25	673.34	511.36	346.83
FEX_0003615	189.22	163.89	79.60	92.57	808.75	288.52	260.72	416.08
FEX_0003616	1.02	3.62	1.67	0.00	0.98	2.26	3.53	2.38
FEX_0003617	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003618	6.00	7.00	1.00	9.00	4.00	8.00	7.00	2.00
FEX_0003619	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
FEX_0003620	1.00	5.51	2.23	3.00	2.00	1.00	1.25	0.00
FEX_0003621	38.07	76.04	74.29	31.04	81.34	62.34	48.52	91.69
FEX_0003622	0.00	16.78	11.19	10.55	4.09	4.94	7.37	6.88
FEX_0003623	313.55	595.31	244.33	255.19	1403.62	1030.09	963.30	1018.21
FEX_0003624	319.00	203.22	211.81	81.45	382.91	936.06	337.63	190.12
FEX_0003625	1221.97	1215.30	1282.02	741.76	1119.69	1479.18	1501.92	303.51
FEX_0003626	13.00	6.00	9.94	7.00	19.90	17.76	13.99	8.00
FEX_0003627	20.00	10.00	37.06	1.00	1.10	26.24	7.01	0.00
FEX_0003628	1289.00	836.00	1067.00	837.00	1618.00	1897.00	1447.00	585.00
FEX_0003629	83.73	133.99	124.69	160.85	412.43	260.15	131.43	181.88
FEX_0003630	21.22	36.53	19.00	17.15	101.17	85.00	71.76	59.87
FEX_0003631	2.00	11.00	18.00	16.00	20.00	3.00	8.00	36.00
FEX_0003632	2514.61	2215.86	2561.44	2054.42	1940.45	2957.81	2990.47	380.09
FEX_0003633	7.00	1.00	9.00	0.00	5.00	4.00	3.00	4.00
FEX_0003634	292.05	251.47	207.80	89.17	535.63	800.34	766.55	160.51
FEX_0003635	2.00	7.00	29.00	5.06	1.00	12.00	7.00	2.00
FEX_0003636	1182.42	759.79	767.54	457.82	992.86	1487.96	1218.61	249.87
FEX_0003637	420.41	541.79	441.64	287.64	981.16	781.94	833.52	220.97
FEX_0003638	740.70	783.21	851.36	533.36	1039.84	839.06	1005.48	228.03
FEX_0003639	38.15	14.49	19.00	21.81	139.90	25.53	25.70	37.61
FEX_0003640	1672.00	1695.00	1363.00	1446.00	3127.72	2090.00	2337.00	2332.00
FEX_0003641	0.00	0.00	0.00	0.00	3.28	0.00	0.00	0.00
FEX_0003642	291.38	305.14	239.51	153.12	620.85	287.87	247.86	175.19
FEX_0003643	37.62	57.86	18.49	20.89	250.15	68.13	39.14	179.81
FEX_0003644	494.56	384.94	633.95	215.27	1218.88	686.77	525.91	368.91
FEX_0003645	150.00	137.00	38.00	59.00	368.00	163.00	168.00	166.00
FEX_0003646	0.00	0.00	0.00	0.00	0.00	26.83	0.00	0.00
FEX_0003647	351.16	278.61	465.06	194.42	225.12	405.40	381.00	43.09
FEX_0003648	25.28	17.45	11.99	7.31	0.00	0.00	21.09	0.00
FEX_0003649	639.83	570.25	612.96	537.68	716.18	745.67	703.67	384.37
FEX_0003650	593.22	392.03	304.81	233.91	1360.20	1035.63	746.64	461.20
FEX_0003651	954.96	854.71	632.23	567.41	3143.62	1221.70	1227.69	1422.43
FEX_0003652	23.01	45.01	64.00	65.03	123.24	79.06	174.00	207.00
FEX_0003653	712.07	530.52	631.91	509.13	386.10	489.76	673.80	72.00
FEX_0003654	450.93	167.44	338.64	252.87	180.60	290.44	281.16	20.17
FEX_0003655	1434.00	1164.00	853.22	1184.00	4306.99	1847.56	1023.00	1145.00
FEX_0003656	198.00	113.00	62.00	75.00	1555.00	507.00	257.00	460.00
FEX_0003657	0.00	3.04	1.45	0.00	9.30	2.81	4.36	14.84
FEX_0003658	5.00	0.00	2.00	0.00	5.00	1.00	6.00	5.00
FEX_0003659	60.00	35.00	69.00	18.00	44.00	159.00	161.00	19.00
FEX_0003660	973.00	893.00	940.00	532.00	2133.15	1591.00	1432.00	1083.00
FEX_0003661	177.00	193.00	93.00	114.00	457.01	275.00	187.00	267.00
FEX_0003662	6.00	2.00	23.00	8.00	0.00	4.00	5.00	5.00
FEX_0003663	285.00	293.00	122.00	131.00	302.00	400.00	238.00	103.00
FEX_0003664	3.00	8.00	16.00	3.00	0.00	1.00	10.00	1.00
FEX_0003665	169.00	305.00	169.00	199.00	466.00	428.00	364.00	349.00
FEX_0003666	37.00	97.00	54.00	170.00	252.00	43.00	190.00	62.00
FEX_0003667	17.00	36.00	24.00	27.01	31.00	24.00	25.00	11.00
FEX_0003668	77.17	217.95	55.33	84.55	129.92	76.28	69.82	68.17
FEX_0003669	4.00	4.00	5.00	2.00	61.00	31.00	34.00	38.00
FEX_0003670	61.31	70.27	54.66	61.79	127.00	70.00	84.26	100.75
FEX_0003671	17.21	20.71	9.05	14.22	46.11	23.29	5.35	12.93
FEX_0003672	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003673	2.00	3.99	4.00	2.18	0.00	4.00	0.00	2.00
FEX_0003674	1.29	1.20	3.72	2.01	0.00	3.67	5.35	1.48
FEX_0003675	65.00	62.02	88.00	48.00	212.00	110.00	87.00	210.00
FEX_0003676	2662.51	2141.75	3388.28	5051.93	1354.34	2070.63	3230.62	383.39
FEX_0003677	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00
FEX_0003679	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0003680	0.76	0.00	1.93	3.35	0.00	0.00	0.00	0.00
FEX_0003681	28.36	42.74	21.38	53.27	92.07	51.86	79.11	140.91
FEX_0003682	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0003683	22.67	52.27	42.10	7.07	2.65	15.56	17.85	3.04
FEX_0003684	1.20	3.00	4.00	4.55	0.00	1.05	3.02	3.00
FEX_0003685	0.00	1.00	5.00	4.00	0.00	1.00	0.00	0.00
FEX_0003686	19.04	55.91	19.00	22.20	18.41	17.33	41.29	57.95
FEX_0003687	130.61	282.91	55.39	125.80	432.59	218.67	257.08	185.89
FEX_0003688	0.00	0.00	24.61	0.00	0.00	0.00	16.38	96.15
FEX_0003689	254.35	530.25	238.23	378.00	360.00	303.00	308.25	85.00
FEX_0003690	1.12	3.23	0.00	0.00	0.00	0.00	10.69	0.00
FEX_0003691	729.06	1385.42	704.38	603.91	1585.98	620.95	946.65	298.69
FEX_0003692	534.48	737.62	480.19	472.37	1107.52	792.61	721.99	581.51
FEX_0003693	609.34	492.73	372.43	327.72	1383.49	994.44	784.67	1251.80
FEX_0003694	94.00	63.00	33.00	29.00	113.00	50.00	52.00	313.00
FEX_0003695	11.00	19.00	10.00	13.00	3.00	15.00	14.00	7.00
FEX_0003696	4.00	37.00	40.00	27.00	1.00	12.00	18.00	11.00
